No,PO number,Po Date,PO Name,Supplier,Total,Cur.
1492,RFPO-1005-M7088-1,20 Dec 2023,PO for CDP200 Square Ceiling Diffuser with Removable core/Gasket/Opposed Blade Damper - Mill Finish,KBE SAUDI ARABIA L.L.C,3091.78,SAR
1493,RFPO-1192-V4340-1,18 Dec 2023,PO for 18mm Commercial Ply Putty Smooth Finish,KRYSTAL CLEAR CONTRACTING LLC,3500,AED
1494,RFPO-5193-V40011-1,18 Dec 2023,PO for 45H7D15J630S1 LC MORTISE LOCK,dormakaba Middle East LLC,45500.45,AED
1495,RFPO-1005-V7156-1,18 Dec 2023,PO for ADDITIONAL GATE VALVES 6 INCH AND 8 INCH - KHAMIS MUSHAYT,CONTRACTORS SERVICES CO.,5600,SAR
1496,RFPO-5683-S9076-1,18 Dec 2023,PO for Fire Alarm Materials,SUMMIT FIRE CONSULTING (SFC),3500,USD
1497,RFPO-6705-M4000-1,18 Dec 2023,PO for GM-4 with cargo AS PER APPROVED SUBMITTAL,"Henan XunHu Equipment Co., Ltd",10820,USD
1498,RFPO-6168-V40037-1,18 Dec 2023,PO for Gypsum Partition & supports,BMET Building Materials Trading LLC,20794.61,AED
1499,RFPO-1005-E7080A-1,18 Dec 2023,PO for Soval Operating Nut for 802 Series Part # ON-GV-ULFM-A,TIC LIGHT ELECTRICAL CORP,128.32,USD
1500,RFPO-6168-V40036-1,15 Dec 2023,PO for CPVC Pipes & fittings,CRESCO MIDDLE EAST TRADING L.L.C,197.03,AED
1501,RFPO-6168-V40035A-1,15 Dec 2023,PO for PVC Straight pipes & fittings,AL HODA PIPE & TUBE TRADING,1072.5,AED
1502,RFPO-5532-E6803-1,14 Dec 2023,PO for DIEGO GARCIA - CABLES FOR TELEPHONE LINE AND FIBER OPTIC FOR OFFICE INTERNET CONNECTION,Alpha Link Technology LLC,44109.95,AED
1503,RFPO-5410-E6800-1,13 Dec 2023,PO for Siemens - Molded Case Circuit Breaker,TIC LIGHT ELECTRICAL CORP,947.89,USD
1504,RFPO-6168-V40033-1,13 Dec 2023,PO for VCT & Adhesive,"Tri-West, Ltd.",6050,USD
1505,RFPO-1569-O59-2,13 Dec 2023,PO for MVL OFFICE NETWORK UPGRADE - NISTCMMC Project implementation - UNIFI 48 PORT SWITCH:USW-PRO-48- POE.,Kyoto Technologies,3820,AED
1506,RFPO-5532-E6802-1,13 Dec 2023,PO for CABLES FOR TELEPHONE LINE AND FIBER OPTIC  - as per approved brand and part number,Alpha Link Technology LLC,53779.56,AED
1507,RFPO-1005-V7155-1,13 Dec 2023,PO for Air Purifier and Humidifier ,COSMOS GENERAL TRADING L.L.C,148174,USD
1508,RFPO-5695-V40005-1,12 Dec 2023,PO for 32mm Rebars,Dateline Exports Inc.,1545.11,USD
1509,RFPO-5695-V40004-1,12 Dec 2023,PO for Joint Sealant,Dateline Exports Inc.,1030.38,USD
1510,RFPO-5532-V40023-1,11 Dec 2023,PO for Pneumatic accessories - Diego Garcia General Use,Technos Multiline LLC,834,AED
1511,RFPO-6168-V40032-1,08 Dec 2023,PO for Light Fitting Samples,Kelly & Hayes Electrical Industrial & Plumbing Supplies,1121.5,USD
1512,RFPO-5683-V40014A-1,08 Dec 2023,PO for Purlins & hardware for Overhead Coiling Door,Metal and Machine FZE,1812,AED
1513,RFPO-1569-O59-1,08 Dec 2023,PO for MVL OFFICE NETWORK UPGRADE - NISTCMMC Project implementation - UNIFI 48 PORT SWITCH:USW-PRO-48- POE.,Kyoto Technologies,3980,AED
1514,RFPO-1005-V7153-1,07 Dec 2023,PO for Air Purifier,Fantastic Electronics FZC,39500,AED
1515,RFPO-6168-V40031-1,07 Dec 2023,PO for Electrical Panel Boards,TIC LIGHT ELECTRICAL CORP,14405.25,USD
1516,RFPO-5683-E6802-1,07 Dec 2023,PO for Additional Electrical Materials,City Electric Supply,10864.1045,USD
1517,RFPO-5213-R1500-1,07 Dec 2023,"PO for PUMPSET: 8 inch X8 inch Diesel Engine High Pressure Pump, ModelHP-200, Pump Capacity- 1050m3/h, max), Pressure Head- 90m (max). Sewage with Solids handling size 50mm. 8”x5 Mtrs. Suction Hose ",SKY PUMP Trading EST.,38500,SAR
1518,RFPO-1569-O58-1,06 Dec 2023,PO for MVL Microsoft 365 Suite Implementation Project - Project Implementation of SOW specified in this document including Cloud migration (280 users) with required migration software licenses and M36,RivYv Technologies,10500,USD
1519,RFPO-1005-V7150-1,05 Dec 2023,PO for SENTRY NRS GATE VALVE PIV-TYPE DI ANSI-FL 300PSI UL/FM  6 inch #NRSP-6000-FF-6 inch,CONTRACTORS SERVICES CO.,1200,SAR
1520,RFPO-1005-V7151-1,05 Dec 2023,PO for BLACK NON- REFLECTIVE CUBICLE TRACK SURFACE MOUNTED FLAT-GRID CEILING WITH ACCESSORIES,Construction Specialties (Gulf) Trading Est.,8189.05,USD
1521,RFPO-1569-O57-1,05 Dec 2023,PO for LAPTOP FOR PROGRAM MANAGER - JAMES SHEEHAN,KASPERTECH GENERAL TRADING LLC,3190.5,AED
1522,RFPO-1005-S9102-1,01 Dec 2023,PO for TPI - CWI INSPECTOR HOUR(S) DATED: 07/13/23 (DH-01)  MILEAGE  - FOR  1005-M7055,"MTB QUALITY CONSULTANTS, INC.",1105.25,USD
1523,RFPO-5829-R1503-1,01 Dec 2023,PO for BLACK TONER FOR BP-20C20T - 1/12/2023,NEW SMART OFFICE AUTOMATION LLC,250,AED
1524,RFPO-1569-O56-1,01 Dec 2023,PO for MVL OFFICE NETWORK UPGRADE - NISTCMMC Project implementation,Kyoto Technologies,42799,AED
1525,RFPO-1005-V7147-1,30 Nov 2023,"PO for QT OHA-23-235 Rev02 - VALVE BOX, POST INDICATOR, GATE VALVE, AND ACCESSORIES",CONTRACTORS SERVICES CO.,15200,SAR
1526,RFPO-4814-E6802A-2,30 Nov 2023,PO for Gentex Horn Strobe - As Per Attached Approved Data Sheet,TIC LIGHT ELECTRICAL CORP,1288.34,USD
1527,RFPO-5503-V40011-1,30 Nov 2023,PO for PN : B1104-081347-167239,OneNet Digital Solutions,442394.28,EURO
1528,RFPO-5193-E6803-1,29 Nov 2023,PO for 45H7D15J630AMRHRBS1,TIC LIGHT ELECTRICAL CORP,5444.32,USD
1529,RFPO-5153-C6052-1,28 Nov 2023,PO for PAB VPL 50 RS UV STABLE,GCP ITALIANA S.P.A.,81185,EURO
1530,RFPO-1192-V4338-1,28 Nov 2023,PO for SLAB WITHOUT FACING (SXXX) Density: 160Kg/M3 Thickness: 50mm Size:1.2 MtrX 0.6 Mtr = Quantity: 500 sheets,FUJAIRAH ROCKWOOL FACTORY,12546,AED
1531,RFPO-1005-V7148-1,28 Nov 2023,"PO for ( QTN Ref. : R23-A135-1) - Fire Hydrant, Dry Barrel, Model: K-401-D, UL/FM, Bury Depth 4 ft,  Flanged, Size 6 INCH, KOPLER - K-401-D-6 INCH",Precision Solutions Corporation,12820,SAR
1532,RFPO-1192-V4339-1,28 Nov 2023,"PO for Saudi Rockwool unfaced slab insulation 50mm, 64 kg/m3 1.2X0.6 M",CMS - Group of Companies,2488.32,AED
1533,RFPO-1005-V7145-1,27 Nov 2023,PO for Flange spigot (Std ),Unitech Di Pipes & Fittings Mfg. LLC,33027.68,USD
1534,RFPO-1005-V7146-1,27 Nov 2023,PO for GROUNDING KIT,GULF SUPPORT SYSTEM TRADING Co.,2867.5,SAR
1535,RFPO-5683-V40013-1,24 Nov 2023,PO for TPI for Overhead Coiling Doors,TUV SUD MIDDLE EAST LLC,762,USD
1536,RFPO-1569-O55-1,24 Nov 2023,PO for License Cost of Microsoft GCC. Quantity: 230 nos,BLACK BOX TECHNOLOGIES L.L.C,510000,AED
1537,RFPO-1192-V4337-1,23 Nov 2023,"PO for Saudi Rockwool unfaced slab insulation 50mm, 64 kg/m3 1.2X0.6 M",CMS - Group of Companies,2488.32,AED
1538,RFPO-6168-M4101-1,23 Nov 2023,PO for Packaged Units (PACU),S.K.M. Air Conditioning L.L.C.,94500,AED
1539,RFPO-1569-O54-1,23 Nov 2023,PO for Crucial P3 4TBM.2 PCIe Gen4 NVME,Kyoto Technologies,3975,AED
1540,RFPO-6168-V40030-1,23 Nov 2023,PO for Paints,The Sherwin-Williams Company,17895.01,USD
1541,RFPO-4814-E6802A-1,23 Nov 2023,PO for Gentex Horn Strobe - As Per Attached Approved Data Sheet,TIC LIGHT ELECTRICAL CORP,1166.56,USD
1542,RFPO-5193-V40009-1,23 Nov 2023,PO for Security Asset Manager (SAM) - K1C2836C096G,KEYLESS SMART SAFETY & SECURITY SYSTEMS LLC,72375.31,AED
1543,RFPO-6168-V40029-1,22 Nov 2023,"PO for Epoxy coated rebars for Doweled joint, Blank off, Spall, Metal Cabinet",MADAR EMIRATES FOR BUILDING MATERIALS (L.L.C.),1724.4,AED
1544,RFPO-5684-V40003A-1,22 Nov 2023,PO for Additional Electrical Materials,Kelly & Hayes Electrical Industrial & Plumbing Supplies,3815.65,USD
1545,RFPO-5153-C6051-1,20 Nov 2023,PO for WATER PROOFING SYSTEMS GCP_C.RE ARMY FAMILY - CASERMA EDERLE (VI),GCP ITALIANA S.P.A.,45371,EURO
1546,RFPO-6168-V40027-1,20 Nov 2023,PO for Bracing Materials for CMU Wall,"Scott & From Co., Inc.",4230.78,USD
1547,RFPO-5829-M4104A-1,16 Nov 2023,"PO for UAE -123 Triton -FAHU, AHU, FCU -Cool Technologies",COOL TECHNOLOGIES,550000.08,AED
1548,RFPO-1005-F7063-1,16 Nov 2023,PO for Pre-coating & finishing services with putty for plywood `( 2.4 m x 1.2 m ) 25 units of boards.,MVL Firestop Bldg. Matl Trdg. LLC,4000,AED
1549,RFPO-1192-R1510-1,15 Nov 2023,PO for Full-Service Maintenance Agreement # 10109/SAJ/23 M/C Ref: DXB-025393,NEW SMART OFFICE AUTOMATION LLC,4950,AED
1550,RFPO-5503-E6801-1,15 Nov 2023,PO for GSBF-18P,TIC LIGHT ELECTRICAL CORP,17345.7,USD
1551,RFPO-6168-V40026-1,15 Nov 2023,PO for Supply of Cladding for pipe work,Adhwa Al Zahra Tech. Cont. LLC,6000,AED
1552,RFPO-1192-V4459-1,14 Nov 2023,PO for COLOR DIVIDERS WITHOUT NUMBER,GRAND STATIONERY CO LLC,595.5,AED
1553,RFPO-5655-M4101-1,14 Nov 2023,PO for COBRA-DIG-SET-VF D-115V,ORIFLOW,6700,USD
1554,RFPO-5622-V40002-1,09 Nov 2023,PO for SS Engraved Labels,Grace Labels LLC,1800,AED
1555,RFPO-5829-M4104-1,08 Nov 2023,PO for UNIT REF. FCU-A-01 AIR FLOW (LPS) 119 COOLING COIL CAPACITY TOTAL KW 1.9 COOLING COIL CAPACITY SENSIBLE  KW 1.9 MODEL TFC M-035,COOL TECHNOLOGIES,550000.08,AED
1556,RFPO-1005-M7084-1,06 Nov 2023,"PO for [SMV] Mini Ball Valve or Gauge cock, Lever Handle Mini , Brass body, SS ball, 400psi max, 1/2 inch NPT F x F connection, SMV504-V",ALI MANEA ALYAMI TRADING EST.,112,SAR
1557,RFPO-5193-A5205-1,02 Nov 2023,PO for Plastic Caps matching the frame 250 PCS and Manufacturer Labels 42 pcs,ARCHITECTURAL METAL DOORS FZC,1650,AED
1558,RFPO-5655-T1002-1,02 Nov 2023,PO for RACU X-012 TESTING EQUIPMENT - ANAUM,Anaum Measuring Equipment LLC,3527.14,AED
1559,RFPO-6168-E6801-1,01 Nov 2023,PO for Water Heater,TIC LIGHT ELECTRICAL CORP,750.04,USD
1560,RFPO-5532-M4007-1,01 Nov 2023,PO for A batch spare part of DONGFENG truck mounted  crane,Evangel International Machinery Ltd.,1639,USD
1561,RFPO-6168-V40025-1,01 Nov 2023,"PO for TPI visit for Steel Doors & Frames at QMI, Dubai",TUV SUD MIDDLE EAST LLC,1000,AED
1562,RFPO-1005-V7143-1,01 Nov 2023,PO for TYPE WB1 BRAND VIDMAR COO USA WARRANTY 12,United Solution FZE,76500,USD
1563,RFPO-5532-V4363-1,01 Nov 2023,PO for Description Customized Black Short Sleeve Polo Shirt Drifit with 1 position logo embroidery on front left chest (MVL Broomgrove) logo  Material :-Polyester Pique Type Black color (Pk-10)  Size ,The Uniform World Tailoring and Textiles LLC,1320,AED
1564,RFPO-5655-T1000-1,01 Nov 2023,PO for RACU X-012 TESTIGN EQUIPMENT - AAB TOOLS,Ali Asger & Brothers LLC,4690,AED
1565,RFPO-5655-T1001-1,01 Nov 2023,PO for RACU X-012 TESTIGN EQUIPMENT - ANBI,ANBI GENERAL TRADING LLC,13300,AED
1566,RFPO-6168-V40024A-1,01 Nov 2023,PO for HVAC Exhaust Fans Units,Greenheck Fan Corporation,2600,USD
1567,RFPO-1192-M4103-1,31 Oct 2023,"PO for Saudi Rockwool unfaced slab insulation 50mm, 64 kg/m3 1.2X0.6 M",Century Mechanical Systems,4976.64,AED
1568,RFPO-5532-V40022-1,31 Oct 2023,PO for Wires,Kelly & Hayes Electrical Industrial & Plumbing Supplies,8601,USD
1569,RFPO-5532-V40019A-1,31 Oct 2023,PO for Electrical Materials for Moody Office and Clinic,Extol International Trading LLC,56124.6,AED
1570,RFPO-5684-V40002A-1,31 Oct 2023,PO for 11422EKHSR: Board Layers,BMET Building Materials Trading LLC,6698.18,AED
1571,RFPO-1005-V7136-2,30 Oct 2023,PO for ,Al Shaikh International Limited Company,45127,SAR
1572,RFPO-1005-V7142-1,30 Oct 2023,"PO for 2nd TPI visit at Vendor – Petraa, KSA (remote location) - Above rate is inclusive of food, accommodation, and transportation.",TUV SUD MIDDLE EAST LLC,392,USD
1573,RFPO-5532-M4006-1,30 Oct 2023,"PO for ELCOMETER 270 PINHOLE DETECTOR: 9, 67.5 AND 90V",Elcometer L.L.C.,9755,AED
1574,RFPO-1005-E7076-1,30 Oct 2023,PO for 1 LF009M2-QT,TIC LIGHT ELECTRICAL CORP,1270.03,USD
1575,RFPO-5829-V4355-1,30 Oct 2023,PO for ACI Concrete Transportation Construction Inspector   Training & Certification,BUILDACT FZ LLC,19650,AED
1576,RFPO-1005-M7082-1,27 Oct 2023,PO for Sealtech,ALI MANEA ALYAMI TRADING EST.,2305,SAR
1577,RFPO-1005-V7140-1,27 Oct 2023,PO for GALA BRONZ BALL VLV #150 NPT (1251) 1-1/2 inch MADE IN USA,SALEH ZAID ALQURAISHI & PARTNERS TRAD.CO.LTD.,216,SAR
1578,RFPO-1192-V4335-1,27 Oct 2023,PO for SLAB WITHOUT FACING (SXXX) Density: 160Kg/M3 Thickness: 50mm Size:1.2 MtrX 0.6 Mtr,FUJAIRAH ROCKWOOL FACTORY,12546,AED
1579,RFPO-5829-M4105-1,26 Oct 2023,"PO for SUPPLY, TESTING AND COMMISSIONING OF PRIMARY CHILLED WATER PUMP 22 LPS @ 17 M",Al Tayer Engineering L.L.C.,78000,AED
1580,RFPO-5829-M4000-1,26 Oct 2023,PO for TS07 2,GECO ENGINEERING EQUIPMENTS TRADING L.L.C,50730,AED
1581,RFPO-5503-V40010-1,26 Oct 2023,PO for EATON 93PM,OneNet Digital Solutions,313400,EURO
1582,RFPO-6168-V40021-1,26 Oct 2023,PO for Hardware for Acoustic Tiles,MISAR TRADING CO. ( L L C),191.36,AED
1583,RFPO-5193-E6802-1,25 Oct 2023,PO for 19,Aklaniat Technologies LTD,315,SAR
1584,RFPO-1569-O53-1,25 Oct 2023,PO for DESK DELL Opti 7000 MT Ci7 12700  32GB 1TBSSD 4GB GRAPHICS DOS 1YR  PRO SUPPORT,Kyoto Technologies,3742,AED
1585,RFPO-6168-V40019-1,25 Oct 2023,"PO for Diffusers, Registers, and Grilles",Faisal Jassim Industries LLC,3307.5,AED
1586,RFPO-1192-V4458-1,24 Oct 2023,"PO for Delivery note : A4 size (21X29.7cm) 1+3ply (W+Y+P+B) 4 color, numbering 10 books printing",SMILE COLOR,575,AED
1587,RFPO-5655-V40005-1,24 Oct 2023,PO for Chiller Base,"Scott & From Co., Inc.",11121,USD
1588,RFPO-5193-E6801-5,23 Oct 2023,PO for Hinged Dust Cover UNIV bl,Aklaniat Technologies LTD,28622.47,SAR
1589,RFPO-1005-V7137-1,23 Oct 2023,PO for  Workbench with Hardwood Top  - VIDMAR WORKSTATION - AS PER ATTACHED APPROVED QUOTATION AND DRAWING,SWS VidmarLista,42146.94,USD
1590,RFPO-1005-V7139-1,23 Oct 2023,PO for Supplying materials for the Rip-rap material work according to the required specifications from the crusher to the work site in the project,Gulf Inshaa General Contracting Est,5508,SAR
1591,RFPO-1005-V7138-1,23 Oct 2023,PO for REPAINTING OF FIRE EXTINGUISHERS CABINET MODEL:NF/800FRC/RA SERIES,NATIONAL FIRE FIGHTING MANUFACTURING FZCO BR (NAFFCO),2880,SAR
1592,RFPO-5829-R1502-1,22 Oct 2023,PO for BlacK Toner for SHARP BP-20C20T,NEW SMART OFFICE AUTOMATION LLC,1405,AED
1593,RFPO-1569-O52-1,22 Oct 2023,"PO for LH55QMCEBGCXUE SAMSUNG UHD4K SOC SIGNAGE, QM55C.- COMMERCIAL TV",Kyoto Technologies,2080,AED
1594,RFPO-6168-V40016-1,20 Oct 2023,PO for Roof Fall Protection Materials.,"Scott & From Co., Inc.",3984.375,USD
1595,RFPO-1569-O51-2,19 Oct 2023,"PO for 2 DESKTOP, 4 MONITORS AND COMMERCIAL 55 INCH TV WITH WALL BRACKET",Kyoto Technologies,7484,AED
1596,RFPO-5193-E6801-4,19 Oct 2023,PO for Hinged Dust Cover UNIV bl,Aklaniat Technologies LTD,28622.47,SAR
1597,RFPO-5193-V40008-1,18 Oct 2023,PO for A003A (As per Approved Submittal),NATIONAL FIRE FIGHTING MANUFACTURING FZCO,7992.94,USD
1598,RFPO-6408-M4101-1,18 Oct 2023,"PO for Air Diffuser, Registers & Grilles, Fire Damper ",Century Mechanical Systems,3234.4,AED
1599,RFPO-6168-V40015-1,18 Oct 2023,PO for STEEL WIRE ROPE ,ROMA ENTERPRISES (L.L.C.),2677.5,AED
1600,RFPO-1569-O51-1,17 Oct 2023,"PO for 2 DESKTOP, 4 MONITORS AND COMMERCIAL 55 INCH TV WITH WALL BRACKET",Kyoto Technologies,9564,AED
1601,RFPO-6408-V40000-1,17 Oct 2023,PO for Vibration Rubber Pad,Kinetics Middle East LLC,315,AED
1602,RFPO-6408-V40001-1,17 Oct 2023,PO for Volume Dampers,PRIME A/C INDUSTRIES (L.L.C),241.8,AED
1603,RFPO-1005-V7126-1,17 Oct 2023,PO for MC215C2 HDCSA0,SAUDICAST- The Industrial Co. for Casting &  Sanitary Fittings,8141.5,SAR
1604,RFPO-5213-S9103-1,16 Oct 2023,PO for Pressure Switch 50 Bar for Motorised Wheel Block System,GANDHI AUTOMATION PVT LTD,345,USD
1605,RFPO-6168-V40013-1,13 Oct 2023,PO for Acoustic Tiles & Supports,BMET Building Materials Trading LLC,38600.96,AED
1606,RFPO-1005-V7134-1,12 Oct 2023,PO for FIRE RETARDANT PLYWOOD 4X8X18MM - PYROGUARD,AL Danube Building Materials Trading Co. LLC.,23040,AED
1607,RFPO-1005-F7062-1,12 Oct 2023,PO for DC333,MVL Firestop Bldg. Matl Trdg. LLC,16000,AED
1608,RFPO-1005-V7136-1,12 Oct 2023,PO for ,Al Shaikh International Limited Company,22567,SAR
1609,RFPO-1005-V7127-1,11 Oct 2023,"PO for 20A Disconnect switch, 220V Non fusible Outdoor type with Grounding and Neutral terminal.",GULF SUPPORT SYSTEM TRADING Co.,64161,SAR
1610,RFPO-1005-A6940-1,10 Oct 2023,Toilet Accessories as per attached Data Sheets,AL GHAMDI COMPANY FOR SANITARY WARES,18129,SAR
1611,RFPO-1005-E7073-2,10 Oct 2023,"PO for [BCC.14511020] CABLE 1X300  CU/XPLE/PVC 1kV, IEC 60502-1",electric house,33626.066,SAR
1612,RFPO-5683-A5202-1,10 Oct 2023,PO for Steel Sliding Window,Lakshmi Metal Tech LLC,60800,AED
1613,RFPO-5657-A5201-1,10 Oct 2023,PO for Aluminum Flush Door,Lakshmi Metal Tech LLC,10800,AED
1614,RFPO-1005-V7133-1,10 Oct 2023,PO for Supply and Installation of Furniture at MVL Project Khamis Mushait,JERAISY RIYADH HOUSE,221943,SAR
1615,RFPO-1005-V7128-1,09 Oct 2023,PO for KIT CLADDING BRIGHT WHITE,Wissam A- Khaleej Products Co,8225,SAR
1616,RFPO-1005-E7074-1,09 Oct 2023,"PO for [ITCC.R0075] CONDUIT RIGID STEEL 3/4 inch, 3M/U - UL6",electric house,16910.614,SAR
1617,RFPO-4814-A5207A-1,09 Oct 2023,PO for Supply and Delivery of Master Key System & Key Cabinet ,Vulcan Industries LLC,25975,AED
1618,RFPO-1005-E7073-1,09 Oct 2023,"PO for [BCC.14511020] CABLE 1X300  CU/XPLE/PVC 1kV, IEC 60502-1",electric house,30346.062,SAR
1619,RFPO-1005-V7132-1,09 Oct 2023,"PO for (KSA 126) W912ER21C0014 KHAMIS SIMULATOR FACILITY, KSA",GULF SUPPORT SYSTEM TRADING Co.,3525,SAR
1620,RFPO-5683-V40010-1,06 Oct 2023,PO for Steel Wire Rope,ROMA ENTERPRISES (L.L.C.),1360,AED
1621,RFPO-1005-V7129-1,05 Oct 2023,"PO for TPI visit at Vendor – Petraa, KSA (remote location) - Above rate is inclusive of food, accommodation, and transportation.",TUV SUD MIDDLE EAST LLC,392,USD
1622,RFPO-5532-O1-1,05 Oct 2023,PO for LAP LENOVO I7 - Raghu Bandari- Safety Manager,KASPERTECH GENERAL TRADING LLC,3047.62,AED
1623,RFPO-5193-A5204-3,05 Oct 2023,PO for Anchor Bolt Cap and Manufacturing Label on Non-fire-rated doors,ARCHITECTURAL METAL DOORS FZC,1650,AED
1624,RFPO-5532-V40020-1,04 Oct 2023,PO for CPVC Pipes and accessories (Moody Office & Clinic),CRESCO MIDDLE EAST TRADING L.L.C,1293.5,AED
1625,RFPO-5532-V40021-1,04 Oct 2023,PO for PE Pipes & fittings (Moody Clinic & Office),Servetech Middle East General Trading,1755.95,AED
1626,RFPO-5532-V4362A-1,04 Oct 2023,PO for Standard Post 3Mtr,Sher Ahmed Scaffolding Tr LLC,35481.5,AED
1627,RFPO-1005-A5307-1,03 Oct 2023,PO for Jazeera Cool Roof,Jazeera Paints,21105,SAR
1628,RFPO-1005-M7081-1,03 Oct 2023,PO for IL400-UL-S316PPMM 2 SEALS at 7 LYNX PER BELT(6.63ODX10.02ID) NOTE - 8 inch MIN SLEEVE LENGTH NEEDED,Diversified Lines For Petroleum Services Co.,30348,SAR
1629,RFPO-5829-M4103A-1,03 Oct 2023,PO for Proposal for 10 kVA UPS,LEMINAR AIR CONDITIONING CO. LLC,148200,AED
1630,RFPO-5695-E6800-1,03 Oct 2023,PO for 29mm Rebar,TIC LIGHT ELECTRICAL CORP,19392.75,USD
1631,RFPO-1005-E7071-1,02 Oct 2023,PO for 1-1/2 LF009M2-QT,TIC LIGHT ELECTRICAL CORP,2151.69,USD
1632,RFPO-5193-E6801-3,02 Oct 2023,PO for Hinged Dust Cover UNIV bl,Aklaniat Technologies LTD,28622.47,SAR
1633,RFPO-1005-V7125-1,02 Oct 2023,"PO for SPEAKER STROBE, SPSW-CLR-ALERT  / SYSTEM SENSOR",Al Shaikh International Limited Company,140565,SAR
1634,RFPO-1005-V7123-1,02 Oct 2023,"PO for DUCT DETECTOR KEY SWITCH ,  RTS151",Al Shaikh International Limited Company,7000,SAR
1635,RFPO-1005-V7124-1,02 Oct 2023,PO for SUPPLY OF FM200 SYSTEM FOR LCT  ROOM AS PER APPROVED  DRAWINGS,Al Shaikh International Limited Company,296450,SAR
1636,RFPO-1192-V4457-1,02 Oct 2023,PO for COLOR DIVIDER WITH n 1-20 1-12 X 20SET,GRAND STATIONERY CO LLC,293.5,AED
1637,RFPO-5532-M4005-1,28 Sep 2023,PO for STEEL CYLINDRICAL MOULD 150 X 300MM,FALCON GEOMATICS LLC,6485,AED
1638,RFPO-1005-V7122-1,27 Sep 2023,PO for BONDING TAPE (TC225),GULF SUPPORT SYSTEM TRADING Co.,10099.88,SAR
1639,RFPO-5503-M4101-2,26 Sep 2023,"PO for Titus Model DESV Direct Digital Single Duct VAV Terminal Unit- 22 Gauge Galvanized Steel Terminal Casing Internally Lined with 1/2 inch Fiberglass insulation, AeroCross Multi-Point Inlet Veloci",S & R Global,62768.52,USD
1640,RFPO-1428-V4355-2,25 Sep 2023,PO for Spiral Notebook,Krossover Gifts Trading LLC,2700,AED
1641,RFPO-1192-V4334-1,21 Sep 2023,"PO for SAUDI ROCKWOOL SLAB INSULATION UNFACED THICKNESS-50MM , DENSITY : 64KG/M3 1.2 X 0.6M",CMS - Group of Companies,2488.32,AED
1642,RFPO-5532-M4101-1,21 Sep 2023,PO for AIR CONDITIONERS,Teko General Trading LLC,22995,AED
1643,RFPO-4814-M4105-5,21 Sep 2023,"PO for SUPPLY OF NFPA 22 APPROVED GALVANIZED STEEL BOLTED TANK WITH DWI APPROVED LINER. MAKE: BALMORAL UK. 6.24 MTRS DIA; 8.2 MTRS HEIGHT, 229M3 NET CAPACITY, 2A SEISMI",ALIGN ELECTROMECHANICAL WORK LLC,507054,AED
1644,RFPO-5657-V40009-1,21 Sep 2023,PO for TPI visit for Pumps ,TUV SUD MIDDLE EAST LLC,924,USD
1645,RFPO-5532-V40018-1,21 Sep 2023,PO for CPVC Pipes & fittings,CRESCO MIDDLE EAST TRADING L.L.C,2180.16,AED
1646,RFPO-1005-V7121-1,20 Sep 2023,PO for CABLE ROLLER STAND,GULF SUPPORT SYSTEM TRADING Co.,33214.74,SAR
1647,RFPO-4814-M4105-4,20 Sep 2023,"PO for SUPPLY OF NFPA 22 APPROVED GALVANIZED STEEL BOLTED TANK WITH DWI APPROVED LINER. MAKE: BALMORAL UK. 6.24 MTRS DIA; 8.2 MTRS HEIGHT, 229M3 NET CAPACITY, 2A SEISMI",ALIGN ELECTROMECHANICAL WORK LLC,460150,AED
1648,RFPO-5193-A5204-2,19 Sep 2023,"PO for DOORS & FRAMES, VISION PANEL WITH GLASS, AND DOOR HARDWARES",ARCHITECTURAL METAL DOORS FZC,176002.52,AED
1649,RFPO-5829-O3-1,19 Sep 2023,PO for SYS DELL 7000 I7 - DELL OPTIPLEX 7000 i7 16GB RAM  1TB SSD NVME 4GB GRAPHIC DOS,KASPERTECH GENERAL TRADING LLC,3700,AED
1650,RFPO-5695-V40002-1,19 Sep 2023,PO for Rebar Couplers,"White Cap Supply Holdings, LLC",31548.2,USD
1651,RFPO-5532-M4004-1,18 Sep 2023,PO for Oil filter for 9m  Lighting Vehicle  4TN4000,Evangel International Machinery Ltd.,93,USD
1652,RFPO-1428-V4355-1,18 Sep 2023,PO for Spiral Notebook,Krossover Gifts Trading LLC,2100,AED
1653,RFPO-6168-V40012-1,14 Sep 2023,PO for Manual Volume Dampers,PRIME A/C INDUSTRIES (L.L.C),3300,AED
1654,RFPO-5829-M4102-2,14 Sep 2023,PO for AIR COOLED CHILLER Part Number - 30XB0900-MCHE - FRANCE  - AS PER ATTACHED APPROVED SUBMITTAL,UTS CARRIER L.L.C.,1295000,AED
1655,RFPO-1005-E7067-1,12 Sep 2023,"PO for Supply and Delivery of UL 924 / C-UL UL / C-UL 1778 eLITE Series Model ELE Centralized Emergency Lighting Inverter (5.3 kW to 18 kW) Single Phase (NFPA 101, NFPA 111, NEC, IBC, and local codes)",ALC ADVANCED LIGHTING COMPANY,779944.47,SAR
1656,RFPO-1005-V7117-1,12 Sep 2023,PO for Bedding Sand Material supply,Gulf Inshaa General Contracting Est,12800,SAR
1657,RFPO-5503-V40008A-1,12 Sep 2023,PO for H1B5HF000,Zarifopoulos S.A,71579.2,EURO
1658,RFPO-1005-V7111A-1,12 Sep 2023,PO for Polyflame 3mm Black,BITUMAT Co. Ltd.,37558,SAR
