RowNo,PONumber,PODate,POName,Supplier,Entity,Project,Material,Discipline,Value,Currency,Year,Month,SourceTab,OriginalSource
3052,PO-815-M4101-1,06 Aug 2015,ACROVYN 4000 - Wall Bumper System,INDUSTRIAL EQUIPMENT CORP.,MACRO,General,General,General,2434.9,USD,2015,8,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3053,PO-1005-M6910-1,05 Aug 2015,Supply of LG Bolt Complete with Nuts And Spring Washer Various Sizes,Al Jazeera Bolts Industries LLC,MACRO,General,General,General,52.61,USD,2015,8,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3054,PO-815-M4102-1,03 Aug 2015,PO for HSS-G DIN 338 VARIOUS SIZES - DEWALT,Ali Asger & Brothers LLC,MACRO,General,General,General,6153.98,USD,2015,8,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3055,PO-1005-V4260-1,29 Jul 2015,SUPPLY OF B METERS WATER METER MODEL TAN-X5-R SIZE 2 1/2 INCH DN65,Memon Abdul Aziz Trading Company L.L.C.,MVL VENTURES,General,General,General,2164.78,USD,2015,7,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3056,PO-1005-V4258-1,29 Jul 2015,SUPPLY OF ZURN WILKINS 2 ? INCHES BACK FLOW PREVENTER W/ AIR GAP AND CAST IRON WYE TYPE STRAINER ( FLANGED ONLY) MODEL 375 + AG + FS. As per attached data sheet.,INDUSTRIAL EQUIPMENT CORP.,MVL VENTURES,General,General,General,11022.0,USD,2015,7,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3057,PO-1005-M4102-2,15 Jul 2015,Supply of Rubber Insulation,CALA LOGISTICS SERVICES,MACRO,General,General,General,817.32,USD,2015,7,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3058,PO-1005-M4102-3,15 Jul 2015,Supply of Copper Tubes (Coil) Muller,ALPHA Global general Trading L.L.C.,MACRO,General,General,General,1578.98,USD,2015,7,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3059,PO-1005-M4102-1,13 Jul 2015,SUPPLY OF MITSUBISHI A/C UNITS MS-HA18 MS-HA24 MS-HA30,United Electronics Co. LLC,MACRO,General,General,General,42642.18,USD,2015,7,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3060,PO-1005-V6893-1,13 Jul 2015,PO for DENSO TAPE - 50MM SAME AS SUPPLIED BEFORE,BIN MOOSA & DALY LTD. LLC,MVL VENTURES,General,General,General,792.39,USD,2015,7,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3061,PO-1005-V6844-1,13 Jul 2015,SUPPY OF THERMOPLASTIC HOSE AND FITTINGS,SAIL EMARATE PIPES TRADING LLC,MVL VENTURES,General,General,General,6711.57,USD,2015,7,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3062,PO-1005-M6890-1,08 Jul 2015,PO for Supply Of Nautilus Eyewash Station (Model No : NTLS SS 520),CARIBEEAN TRADING CO. LLC,MACRO,General,General,General,1307.04,USD,2015,7,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3063,RFPO-637-T1000-1,08 Jul 2015,PO for ALTAIR 4X MULTIGAS DETECTOR,GASOS,MACRO,Kabul Fit Out_Supply Of  SAFETY VESTS & HELMETS,Building Materials,Construction,1307.04,USD,2015,7,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3064,PO-1005-M6812-1,07 Jul 2015,PO for Balancing Valves for Hot Water,CALA LOGISTICS SERVICES,MACRO,General,General,General,1746.0,USD,2015,7,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3065,PO-615-V4352-1,01 Jul 2015,PO for Hexogen bot and Nut,Asia Bolts Industries LLC,MVL VENTURES,General,General,General,85.64,USD,2015,7,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3066,PO-1005-E6803-1,29 Jun 2015,PO fo r3 AND 4 way Toggle Switches (Hubbell brand),INDUSTRIAL EQUIPMENT CORP.,MVL ENERGY,General,General,General,1001.0,USD,2015,6,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3067,PO-615-V4253-1,29 Jun 2015,PO for Grills and Dampers - SABRO,SABRO TECHNOLOGIES,MVL VENTURES,General,General,General,4448.0,USD,2015,6,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3068,PO-1005-E6872-1,29 Jun 2015,PO for Emergency Light- PELSAN PN 5514-103,HAJI GHANI SONS,MVL ENERGY,General,General,General,3600.0,USD,2015,6,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3069,PO-1005-V6871-1,29 Jun 2015,PO for 4 Way Toggle Switches (Hubbell Brand),INDUSTRIAL EQUIPMENT CORP.,MVL VENTURES,General,General,General,398.0,USD,2015,6,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3070,PO-1005-V6869-1,28 Jun 2015,"PO for Hex Bolts, Flat and Spring Washers",Asia Bolts Industries LLC,MVL VENTURES,General,General,General,633.7,USD,2015,6,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3071,PO-1005-M6810-1,22 Jun 2015,PO for Nautilus Eyewash Station NTLS SS 520,CARIBEEAN TRADING CO. LLC,MACRO,General,General,General,15684.48,USD,2015,6,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3072,RFPO-781-S9074-1,22 Jun 2015,PO for Technical Manpower Support,Power Controls-GC,MACRO,Al Dhafra Fit Out_Supply Of PPE Materials,Building Materials,Construction,10892.0,USD,2015,6,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3073,PO-1005-V6840-1,21 Jun 2015,SUPPLY OF Battery Support Box BATB-80 and Battery charger  PSC-122000A,INDUSTRIAL EQUIPMENT CORP.,MVL VENTURES,General,General,General,700.0,USD,2015,6,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3074,PO-1005-V6833-1,18 Jun 2015,MR:2870: Supply of Bolts and Nuts,Asia Bolts Industries LLC,MVL VENTURES,General,General,General,755.31,USD,2015,6,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3075,PO-1005-V6840-2,18 Jun 2015,BOSCH ADDRESSABLE FIRE ALARM SYSTEM,INDUSTRIAL EQUIPMENT CORP.,MVL VENTURES,General,General,General,18477.5,USD,2015,6,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3076,RFPO-781-V4251-1,15 Jun 2015,PO for FIRST AID KIT METAL MEDIUM AND SAFETY MASK 3M 8210,Midas Safety,MACRO,Al Dhafra Fit Out_Supply Of PPE Materials,Building Materials,Construction,107.29,USD,2015,6,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3077,RFPO-573-E6804-1,15 Jun 2015,PO for Supply Of FUEL LEVEL GAUGE FOR FUEL TANK (AFRISO EUROGAUGE),Jubaili Bros LLC,MACRO,Delaram Fit Out_Supply Of Door And Door Accesories,Doors,Construction,5520.0,USD,2015,6,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3078,PO-1005-V6824-1,14 Jun 2015,Fluke 1550C Insulation Tester - WITH CALIBRATION CERTIFICATE,Ali Asger & Brothers LLC,MVL VENTURES,General,General,General,2668.54,USD,2015,6,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3079,PO-1005-T1005-1,11 Jun 2015,PO for Denso Tape - 50mm,BIN MOOSA & DALY LTD. LLC,MVL TRADING,General,General,General,264.13,USD,2015,6,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3080,PO-1005-E6801-1,11 Jun 2015,PO for EMERGENCY LIGHTING LUMINARY  HALOGEN LAMP,BE&#350; A ELEKTR&#304;K VE ELEKTRON&#304;K SAN. VE T&#304;C. LTD. &#350;T&#304;,MVL ENERGY,General,General,General,3575.0,USD,2015,6,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3081,RFPO-573-V4252-1,10 Jun 2015,PO for GLASS PANEL (1200MM*800*10MM THICK WITH ALUMINUM FRAME),CALA LOGISTICS SERVICES,MACRO,Delaram Fit Out_Supply Of Door And Door Accesories,Doors,Construction,534.1,USD,2015,6,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3082,PO-615-T1000-1,10 Jun 2015,PO for SUPPLY OF SCHMERSAL (LIMIT SWITCH) Z4VH 335-11Z,Gulf Trade International FZC,MVL TRADING,General,General,General,680.75,USD,2015,6,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3083,RFPO-573-V4254-1,09 Jun 2015,PO for Supply Of HALIDE BULB AS PER ATTACHED,CALA LOGISTICS SERVICES,MACRO,Delaram Fit Out_Supply Of Door And Door Accesories,Doors,Construction,121.52,USD,2015,6,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3084,RFPO-982-1746-1,09 Jun 2015,Construction of MFNDU LSA for MVL and Govt,World Gate Engineering & Construction,MACRO,MFNDU - SUBCONTRACTS - MACEC,,General,535998.0,USD,2015,6,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3085,PO-1005-E6802-1,09 Jun 2015,PO for ATS with Extended Panel (GE),BAHRI & MAZROEI TECHNICAL SYSTEMS CO. LLC,MVL ENERGY,General,General,General,53198.57,USD,2015,6,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3086,PO-1005-T1004-1,08 Jun 2015,"PO for SUPPLY OF FLUKE METER, BOSCH LASER MEASURER",Ali Asger & Brothers LLC,MVL TRADING,General,General,General,1859.81,USD,2015,6,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3087,PO-1005-T1004-2,08 Jun 2015,PO for BOSCH TORPEDO 3-POINT ALIGN LASR GPL3T,Parts Mechanica World Wide LLC,MVL TRADING,General,General,General,106.2,USD,2015,6,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3088,RFPO-781-S9032-1,07 Jun 2015,Missing Materials Requirement,Honeywell International Middle East Ltd,MACRO,Al Dhafra Fit Out_Supply Of PPE Materials,Building Materials,Construction,102896.72,USD,2015,6,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3089,RFPO-573-S9051-1,07 Jun 2015,PO for PETROL FOR FINAL PL ANA FUEL DISPENSER,FEROOZ FUEL STATION,MACRO,Delaram Fit Out_Supply Of Door And Door Accesories,Doors,Construction,2375.0,USD,2015,6,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3090,RFPO-573-E6803-1,04 Jun 2015,PO for Supply Of PL 9 : ADDITIONAL ELECTRICAL MATERIALS,HAJI GHANI SONS,MACRO,Delaram Fit Out_Supply Of Door And Door Accesories,Doors,Construction,1470.0,USD,2015,6,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3091,RFPO-573-V4253-1,04 Jun 2015,PO for DOOR CLOSER: KALE BRAND MODEL NO. KD-002/30-330,AL MALIKA HARDWARE AND TOOLS,MACRO,Delaram Fit Out_Supply Of Door And Door Accesories,Doors,Construction,143.77,USD,2015,6,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3092,RFPO-573-A5203-1,04 Jun 2015,PO for DOOR STOPPER,CALA LOGISTICS SERVICES,MACRO,Delaram Fit Out_Supply Of Door And Door Accesories,Doors,Construction,225.4,USD,2015,6,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3093,RFPO-566-E6801-1,03 Jun 2015,PO for INSPECTION OF POWER TRANSFORMERS IN PAKISTAN,SGS Gulf Limited,MACRO,"Khas Khunar Project_Supply Of Fuel, Vehicles And Waste Disposal",Construction,Construction,700.0,USD,2015,6,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3094,RFPO-573-V4352-1,28 May 2015,PO for WARRANTY MANAGEMENT PLAN TRANSLATION TO DARI AND PASHTO,ELIA TRANSLATION CENTER,MACRO,Delaram Fit Out_Supply Of Door And Door Accesories,Doors,Construction,686.0,USD,2015,5,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3095,RFPO-573-E6801-1,28 May 2015,PO for DLM-ELC-93: INCANDESCENT ONE PIECE WITH APPROVED LENS STABILIZED HIGH IMPACT POLY CARBONATE 70W ( c ),AW Rostamani Lumina,MACRO,Delaram Fit Out_Supply Of Door And Door Accesories,Doors,Construction,671.22,USD,2015,5,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3096,RFPO-573-E6802-1,26 May 2015,PO for SPARES-ADDITIONAL IKIZZLER EXIT SIGN,IKIZLER AYDINLATMA ARMATURLERI SAN VE. TIC. A.S,MACRO,Delaram Fit Out_Supply Of Door And Door Accesories,Doors,Construction,397.0,USD,2015,5,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3097,PO-1005-M4104-1,26 May 2015,Supply Of Expansion Tank HIDRO TANK,CALA LOGISTICS SERVICES,MACRO,General,General,General,1438.8,USD,2015,5,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3098,RFPO-573-V4251-1,25 May 2015,PO for Supply Of ADDITIONAL SPARES PLUMBING,United Ceramics & Building Materials,MACRO,Delaram Fit Out_Supply Of Door And Door Accesories,Doors,Construction,233.94,USD,2015,5,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3099,RFPO-573-A5201-1,25 May 2015,PO for ADDITIONAL SPARES HINGES,Consort Architectural Hardware,MACRO,Delaram Fit Out_Supply Of Door And Door Accesories,Doors,Construction,185.16,USD,2015,5,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3100,RFPO-573-M4101-1,25 May 2015,"PO for SPB-2020, F&F Fenner V-belt",Technical Industrial Supply LLC,MACRO,Delaram Fit Out_Supply Of Door And Door Accesories,Doors,Construction,231.45,USD,2015,5,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3101,PO-1005-P4252-1,24 May 2015,PO for 5000 PAIRS 3M EAR PLUG (3M-1110) (10 BOX X 500PAIRS/BOX),OKI BERING MIDDLE EAST FZE,MVL PROJECTS,General,General,General,626.29,USD,2015,5,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3102,RFPO-573-S9031-1,21 May 2015,PO for Supply Of WWTP GRADING AND LEGACY BUILDING SITE GRADING,Kamal Baba Construction Company ?KBCC?,MACRO,Delaram Fit Out_Supply Of Door And Door Accesories,Doors,Construction,6000.0,USD,2015,5,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3103,RFPO-982-1590A-1,20 May 2015,ORD-982-1590A-1,TATEKAN Constructions and Services,MACRO,MFNDU - SUBCONTRACTS - MACEC,,General,9828756.34,USD,2015,5,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3104,RFPO-982-1590A-2,20 May 2015,ORD-982-1590A-1,TATEKAN Constructions and Services,MACRO,MFNDU - SUBCONTRACTS - MACEC,,General,9491022.84,USD,2015,5,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3105,PO-1005-S9032-1,18 May 2015,PO for Door Closer for Aluminum Door. KALE BRAND MODEL NO. KD-002/30-330,AL MALIKA HARDWARE AND TOOLS,MVL SOLUTIONS,General,General,General,191.7,USD,2015,5,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3106,RFPO-573-E6800-1,18 May 2015,PO for SEARCH LIGHT HANDLE 210 CM WITHOUT INSATALLATION - RFI - 0086,HAJI GHANI SONS,MACRO,Delaram Fit Out_Supply Of Door And Door Accesories,Doors,Construction,3586.8,USD,2015,5,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3107,PO-1005-S9031-1,17 May 2015,EXPANSION TANK - HIDROTANK BRAND,CALA LOGISTICS SERVICES,MVL SOLUTIONS,General,General,General,2783.2,USD,2015,5,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3108,RFPO-497-A5352-1,17 May 2015,PO for Supply Of JOMIX LION SERIES CP SINK MIXER - WALL MOUNTED LONG NECK L 6012 Pl # 8,JUNAID SANITARY ELECT. MAT. TR. LLC,MACRO,Delaram Fit Out_Supply Of Leviton Porcelain Lamp Holder - L1,Building Materials,Construction,522.82,USD,2015,5,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3109,RFPO-497-V4252-1,17 May 2015,PO for 2 Loop Analogue Addressable Fire Protection And Alarm Panel - Extended Battery Cabinet,HAVEN FIRE & SAFETY LLC,MACRO,Delaram Fit Out_Supply Of Leviton Porcelain Lamp Holder - L1,Building Materials,Construction,5173.7,USD,2015,5,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3110,RFPO-497-V4251-1,13 May 2015,PO for VISON GLASS WITH GEORGIAN WIRE 95CM*60CM 6 MM THICK,CALA LOGISTICS SERVICES,MACRO,Delaram Fit Out_Supply Of Leviton Porcelain Lamp Holder - L1,Building Materials,Construction,1029.0,USD,2015,5,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3111,RFPO-497-E6800-1,13 May 2015,PO for METAL HALIDE FOR CANOPY LIGHT 170 WATTS,HAJI GHANI SONS,MACRO,Delaram Fit Out_Supply Of Leviton Porcelain Lamp Holder - L1,Building Materials,Construction,80.0,USD,2015,5,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3112,PO-1005-V6804-1,13 May 2015,PO for Door Closer for Aluminum Door. KALE BRAND MODEL NO. KD-002/30-330,AL MALIKA HARDWARE AND TOOLS,MVL VENTURES,General,General,General,718.87,USD,2015,5,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3113,RFPO-497-E6801-1,13 May 2015,PO for PL 8 CIRCUIT BREAKER ABB BRAND 225 AMPS AND 100 AMPS,HAJI GHANI SONS,MACRO,Delaram Fit Out_Supply Of Leviton Porcelain Lamp Holder - L1,Building Materials,Construction,289.1,USD,2015,5,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3114,RFPO-573-V4351-1,13 May 2015,PO for Supply FUELS FOR DELARAM TURNOVER,Falcon Eyes Logistic and Services,MACRO,Delaram Fit Out_Supply Of Door And Door Accesories,Doors,Construction,121181.7,USD,2015,5,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3115,RFPO-497-1484-2,10 May 2015,PUNCHLIST #3 SUPPLY OF MORTISE LOCK WITH CYLINDER,AL MALIKA HARDWARE AND TOOLS,MACRO,Delaram Fit Out_Supply Of Leviton Porcelain Lamp Holder - L1,Building Materials,Construction,1448.64,USD,2015,5,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3116,RFPO-982-1591A-1,05 May 2015,RFPO-982-1591A-1,Fox Logistics and Construction,MACRO,MFNDU - SUBCONTRACTS - MACEC,,General,7046365.01,USD,2015,5,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3117,PO-1005-V4251-1,28 Apr 2015,PO for Eurosafe FFP3 Valved Particulate Respirator,Atlas Safety Products,MVL VENTURES,General,General,General,871.36,USD,2015,4,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3118,RFPO-497-1633-1,26 Apr 2015,PO for Turkmenistan High Quality Diesel L-62,Falcon Eyes Logistic and Services,MACRO,Delaram Fit Out_Supply Of Leviton Porcelain Lamp Holder - L1,Building Materials,Construction,28787.31,USD,2015,4,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3119,RFPO-637-1636-1,26 Apr 2015,PO for Supply Of INTERIOR DOOR SIGNAGES,CALA LOGISTICS SERVICES,MACRO,Kabul Fit Out_Supply Of  SAFETY VESTS & HELMETS,Building Materials,Construction,8677.9,USD,2015,4,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3120,RFPO-982-1597-1,20 Apr 2015,PO for Supply Of PPE SAFETY MATERIALS,CALA LOGISTICS SERVICES,MACRO,MFNDU - SUBCONTRACTS - MACEC,,General,3727.92,USD,2015,4,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3121,RFPO-497-1604-1,16 Apr 2015,PO for Supply Of LOOP CARDS AND MOTHER BOARDS FOR FIRE ALARM SYSTEM,HAVEN FIRE & SAFETY LLC,MACRO,Delaram Fit Out_Supply Of Leviton Porcelain Lamp Holder - L1,Building Materials,Construction,1021.12,USD,2015,4,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3122,RFPO-497-1602-1,15 Apr 2015,PO for Supply Of Approved Thermostat - STEGO FZ011.01170.0-00,Al Taqwa Electrical Ware Trading LLC,MACRO,Delaram Fit Out_Supply Of Leviton Porcelain Lamp Holder - L1,Building Materials,Construction,261.41,USD,2015,4,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3123,RFPO-637-1600-1,14 Apr 2015,PO for Supply Of TEX SCREW WITH EPDM WASHER - SDS ( Self Drilling Screw) 5.5 X 40mm,MEDAL BUILDERS Engineering & Construction Co.,MACRO,Kabul Fit Out_Supply Of  SAFETY VESTS & HELMETS,Building Materials,Construction,117.6,USD,2015,4,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3124,RFPO-497-1585-1,13 Apr 2015,PO for ELECTRICAL PUNCH LIST # 7,HAJI GHANI SONS,MACRO,Delaram Fit Out_Supply Of Leviton Porcelain Lamp Holder - L1,Building Materials,Construction,6152.69,USD,2015,4,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3125,RFPO-497-1587-1,12 Apr 2015,PO for Supply Of ANALOGUE ADDRESSABLE HEAT DETECTOR C/W BASE,HAVEN FIRE & SAFETY LLC,MACRO,Delaram Fit Out_Supply Of Leviton Porcelain Lamp Holder - L1,Building Materials,Construction,49.01,USD,2015,4,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3126,PO-315-1534-2,08 Apr 2015,Purchase Order for FRBH 87,AW Rostamani Lumina,Unknown,General,General,General,2246.47,USD,2015,4,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3127,PO-315-1534-3,08 Apr 2015,PO FOR BAOLAI PHOTOCELL,HAJI GHANI SONS,Unknown,General,General,General,896.7,USD,2015,4,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3128,PO-415-1567-1,06 Apr 2015,PO for GRAVITY SHUTTER WITH ALUMINUM INSECT SCREEN,Unspecified Supplier,Unknown,General,General,General,403.82,USD,2015,4,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3129,RFPO-637-1260-1,02 Apr 2015,PO for SCOPE OF WORK,World Gate Engineering & Construction,MACRO,Kabul Fit Out_Supply Of  SAFETY VESTS & HELMETS,Building Materials,Construction,1523532.16,USD,2015,4,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3130,RFPO-637-1260-2,02 Apr 2015,"Change Order A : Anchor Bolt, Terrazo Tiles & Demolition And Disposal Of Temporary ECP",World Gate Engineering & Construction,MACRO,Kabul Fit Out_Supply Of  SAFETY VESTS & HELMETS,Building Materials,Construction,1664382.16,USD,2015,4,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3131,RFPO-637-1260-3,02 Apr 2015,Change Order B : ADDITIONS TO SOW - HELIPAD,World Gate Engineering & Construction,MACRO,Kabul Fit Out_Supply Of  SAFETY VESTS & HELMETS,Building Materials,Construction,1974480.82,USD,2015,4,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3132,RFPO-497-1560-1,01 Apr 2015,PO for Supply of EXPLOSION PROOF JUNCTION BOX 3/4 INCH THREAD 4 HOLES AS PER ATTACHED DATA SHEET,HAJI GHANI SONS,MACRO,Delaram Fit Out_Supply Of Leviton Porcelain Lamp Holder - L1,Building Materials,Construction,1102.5,USD,2015,4,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3133,RFPO-573-1555-1,31 Mar 2015,PO for Metal Enclosed Switch gear Compound With Fuse,Ulusoy Elektrik &#304;malat Taahhut ve Ticaret A.S.,MACRO,Delaram Fit Out_Supply Of Door And Door Accesories,Doors,Construction,1993.06,USD,2015,3,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3134,PO-315-1496-1,30 Mar 2015,PO for GUARD TOWER SEARCHLIGHTS,HAJI GHANI SONS,Unknown,General,General,General,21070.0,USD,2015,3,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3135,PO-315-1558-1,30 Mar 2015,PO for Explosion Proof Thermostat - 862E,KIA SYSTEMS FZE,Unknown,General,General,General,1372.0,USD,2015,3,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3136,RFPO-566-1557-1,29 Mar 2015,PO for GUARD TOWER  SEARCHLIGHTST FR300C MODEL A4826 HANDLE 2100MM,HAJI GHANI SONS,MACRO,"Khas Khunar Project_Supply Of Fuel, Vehicles And Waste Disposal",Construction,Construction,29498.0,USD,2015,3,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3137,PO-315-1540-1,24 Mar 2015,PO forDETENTION CELL LIGHTING FIXTURE D,TIC LIGHT ELECTRICAL CORP,Unknown,General,General,General,5097.0,USD,2015,3,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3138,RFPO-497-1536-1,24 Mar 2015,PO for Electrical Panel Board 300A (200x100x35 cm),Panel Tech Engineering Co,MACRO,Delaram Fit Out_Supply Of Leviton Porcelain Lamp Holder - L1,Building Materials,Construction,2940.0,USD,2015,3,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3139,PO-315-1543-1,24 Mar 2015,PO for  Supply Of Detention Cell Toilet,MEDAL BUILDERS Engineering & Construction Co.,Unknown,General,General,General,28322.0,USD,2015,3,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3140,RFPO-573-1538-1,23 Mar 2015,PO for Translation of O & M Construction Manuals,ELIA TRANSLATION CENTER,MACRO,Delaram Fit Out_Supply Of Door And Door Accesories,Doors,Construction,11038.72,USD,2015,3,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3141,SPO-573-1001-1,23 Mar 2015,PO for,Sahari Group of Companies,Unknown,General,General,General,495096.0,USD,2015,3,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3142,SPO-573-1001-2,23 Mar 2015,PO for,Sahari Group of Companies,Unknown,General,General,General,495096.0,USD,2015,3,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3143,PO-315-1534-1,19 Mar 2015,PO for DOOR LIGHTING FIXTURE ?C?,HAJI GHANI SONS,Unknown,General,General,General,899.64,USD,2015,3,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3144,RFPO-573-1537-1,19 Mar 2015,PO for Supply Of Whole EPDM Waterproofing System ORGANIX,United Ceramics & Building Materials,MACRO,Delaram Fit Out_Supply Of Door And Door Accesories,Doors,Construction,2440.2,USD,2015,3,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3145,RFPO-497-1529-1,18 Mar 2015,PO for Supply Of PL #6 ADDITIONAL ELECTRICAL MATERIALS,HAJI GHANI SONS,MACRO,Delaram Fit Out_Supply Of Leviton Porcelain Lamp Holder - L1,Building Materials,Construction,2299.57,USD,2015,3,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
3146,RFPO-497-1524-1,17 Mar 2015,PO for Supply of PL #6 DOUBLE ROBE HOOK RAK 21005 KLUDIRAK CALIBER,United Ceramics & Building Materials,MACRO,Delaram Fit Out_Supply Of Leviton Porcelain Lamp Holder - L1,Building Materials,Construction,627.2,USD,2015,3,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
